Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J GERONTOL B-PSYCHOL;1079-5014;5686;3.213;3.856;0.442;95;8.9;0.01109;1.505;
J HEAD TRAUMA REHAB;0885-9701;3011;2.920;4.008;1.039;77;8.4;0.00455;1.169;
J HEALTH ECON;0167-6296;5054;2.579;3.327;0.405;79;9.2;0.01469;2.117;
J HEALTH SOC BEHAV;0022-1465;6107;2.915;5.211;0.167;30;>10.0;0.00572;2.237;
J HUM EVOL;0047-2484;6663;3.733;4.111;0.946;112;8.9;0.01140;1.480;
J INF TECHNOL;0268-3962;1386;4.525;5.348;0.526;19;6.7;0.00386;2.116;
J INFORMETR;1751-1577;1200;2.412;2.932;0.390;82;3.8;0.00297;0.581;
J INT BUS STUD;0047-2506;8440;3.563;6.067;0.759;54;>10.0;0.01095;2.211;
J INT ECON;0022-1996;4876;2.368;2.745;0.354;79;>10.0;0.01721;2.815;
J INT MARKETING;1069-031X;1160;3.100;3.540;0.450;20;8.4;0.00114;0.719;
J INT MONEY FINANC;0261-5606;2424;2.117;1.916;0.236;123;8.3;0.00591;0.818;
J INTERACT MARK;1094-9968;1284;2.773;3.385;0.150;20;9.1;0.00232;1.247;
J LEARN SCI;1050-8406;1365;2.312;2.813;1.526;19;>10.0;0.00192;1.614;
J MANAGE;0149-2063;10823;6.071;9.238;1.075;67;>10.0;0.02097;4.553;
J MANAGE INFORM SYST;0742-1222;3258;2.062;3.071;0.767;30;>10.0;0.00301;0.958;
J MANAGE STUD;0022-2380;6332;3.763;5.883;0.667;45;9.0;0.01219;2.576;
J MARITAL FAM THER;0194-472X;1231;2.528;1.949;0.514;35;9.9;0.00149;0.436;
J MARKETING;0022-2429;14741;3.938;7.421;0.333;48;>10.0;0.01475;3.559;
J MARKETING RES;0022-2437;12194;2.256;3.771;0.510;51;>10.0;0.01631;2.830;
J MATH PSYCHOL;0022-2496;1915;2.609;2.656;0.367;30;>10.0;0.00381;1.231;
J MEM LANG;0749-596X;7285;4.237;4.257;0.676;68;>10.0;0.00903;1.805;
J MIX METHOD RES;1558-6898;558;2.186;2.925;0.091;22;6.2;0.00151;1.020;
J NEUROPSYCHOL;1748-6645;350;2.486;2.465;1.158;19;3.8;0.00105;0.766;
J OCCUP HEALTH PSYCH;1076-8998;2001;2.458;3.941;0.184;38;7.5;0.00477;1.605;
J OCCUP REHABIL;1053-0487;1503;2.159;2.593;0.194;72;6.5;0.00335;0.786;
J OPER MANAG;0272-6963;5943;3.818;7.692;0.353;34;8.7;0.00736;2.341;
J ORGAN BEHAV;0894-3796;6788;3.038;5.017;0.836;73;>10.0;0.01065;2.280;
J PEACE RES;0022-3433;2358;3.387;3.549;0.636;55;7.5;0.01088;2.596;
J PEASANT STUD;0306-6150;1356;4.553;5.213;0.857;49;3.9;0.00610;1.903;
J PEDIATR PSYCHOL;0146-8693;5379;2.472;3.380;0.787;94;7.8;0.00904;1.110;
J PERS;0022-3506;6059;3.229;3.777;0.958;48;>10.0;0.00836;1.802;
J PERS DISORD;0885-579X;2677;2.619;3.396;0.469;49;8.3;0.00511;1.136;
J PERS SOC PSYCHOL;0022-3514;55364;5.031;7.521;0.653;118;>10.0;0.04543;4.070;
J PHYS ACT HEALTH;1543-3080;2634;2.090;2.789;0.320;200;4.5;0.00925;0.864;
J POLICY ANAL MANAG;0276-8739;1577;2.576;3.032;0.696;46;8.9;0.00531;2.144;
J POLIT;0022-3816;4654;2.255;2.754;0.205;78;>10.0;0.01816;2.711;
J POLIT ECON;0022-3808;17262;3.593;5.687;0.581;31;>10.0;0.02548;10.698;
J PSYCHIATR NEUROSCI;1180-4882;2491;5.861;6.789;0.902;41;6.0;0.00622;2.175;
J PSYCHIATR RES;0022-3956;11803;3.957;4.542;0.796;226;7.9;0.02270;1.420;
J PSYCHOSOM RES;0022-3999;10215;2.736;3.438;0.519;158;>10.0;0.01282;1.157;
J PUBL ADM RES THEOR;1053-1858;2470;2.833;3.574;0.342;38;8.5;0.00524;1.527;
J PUBLIC HEALTH-UK;1741-3842;1555;2.039;2.456;0.637;80;5.1;0.00544;0.970;
J PURCH SUPPLY MANAG;1478-4092;674;2.333;2.521;0.385;26;6.4;0.00141;0.761;
J QUANT CRIMINOL;0748-4518;1325;2.385;3.230;0.433;30;9.5;0.00336;1.679;
J REGIONAL SCI;0022-4146;1526;2.042;2.500;0.343;35;9.8;0.00413;1.342;
J RES CRIME DELINQ;0022-4278;1723;2.702;3.224;0.500;32;>10.0;0.00261;1.534;
J RES EDUC EFF;1934-5747;204;2.103;;0.412;17;4.1;0.00151;;
J RES PERS;0092-6566;4684;2.264;2.723;0.171;76;7.9;0.01134;1.308;
J RES SCI TEACH;0022-4308;4410;3.162;4.019;0.426;47;>10.0;0.00679;1.663;
J RURAL STUD;0743-0167;2277;2.444;2.768;0.317;101;8.5;0.00345;0.813;
J SCHOOL PSYCHOL;0022-4405;1987;2.262;3.405;1.848;33;8.3;0.00374;1.446;
J SERV RES-US;1094-6705;2020;2.484;4.347;0.333;30;8.5;0.00306;1.309;
J SEX RES;0022-4499;2733;2.695;3.103;0.577;78;>10.0;0.00462;1.114;
J SPEECH LANG HEAR R;1092-4388;6186;2.070;2.795;0.302;182;9.1;0.00912;0.900;
J SPORT EXERCISE PSY;0895-2779;2841;2.185;3.390;0.220;50;>10.0;0.00320;0.945;
J STRATEGIC INF SYST;0963-8687;1045;2.692;3.388;1.278;18;8.9;0.00113;0.693;
J STUD ALCOHOL DRUGS;1937-1888;6659;2.760;2.930;0.417;120;>10.0;0.00874;0.983;
J SUPPLY CHAIN MANAG;1523-2409;1324;3.857;5.180;1.400;20;6.0;0.00322;1.661;
J TRANSP GEOGR;0966-6923;2781;2.650;3.215;0.325;151;4.4;0.00752;0.883;
J TRAUMA STRESS;0894-9867;5972;2.360;3.300;0.431;102;9.5;0.00923;1.111;
J TRAVEL RES;0047-2875;3103;2.442;3.194;0.351;57;>10.0;0.00265;0.676;
J VOCAT BEHAV;0001-8791;5900;2.588;3.590;0.369;84;9.7;0.00856;1.183;
J WOMENS HEALTH;1540-9996;3601;2.050;2.183;0.395;124;5.3;0.01196;0.781;
J WORLD BUS;1090-9516;1901;2.388;3.526;0.411;56;6.3;0.00444;1.123;
J WORLD PREHIST;0892-7537;530;2.333;2.615;0.273;11;>10.0;0.00057;0.687;
J YOUTH ADOLESCENCE;0047-2891;5033;2.777;3.546;0.370;135;7.3;0.01223;1.323;
JAMA PSYCHIAT;2168-622X;1886;12.008;12.008;2.808;120;1.4;0.00999;4.955;
JUSTICE Q;0741-8825;1659;2.889;2.721;0.500;42;>10.0;0.00375;1.375;
LANCET GLOB HEALTH;2214-109X;457;10.042;10.083;4.354;48;1.1;0.00204;5.355;
LAND USE POLICY;0264-8377;3728;2.631;3.095;0.646;246;4.9;0.01016;0.857;
LANDSCAPE URBAN PLAN;0169-2046;7409;3.037;3.659;0.757;177;7.5;0.01152;0.971;
LANG COGNITIVE PROC;0169-0965;2123;2.134;2.377;;0;8.4;0.00471;0.982;
LAW HUMAN BEHAV;0147-7307;2443;2.020;2.759;0.296;54;>10.0;0.00374;1.071;
LEADERSHIP QUART;1048-9843;4979;3.138;4.326;0.735;68;9.1;0.00801;1.442;
LEARN INSTR;0959-4752;2776;3.585;4.421;0.945;55;7.5;0.00645;1.728;
LONG RANGE PLANN;0024-6301;1790;2.718;5.765;1.280;25;8.7;0.00358;1.895;
MANAGE ACCOUNT RES;1044-5005;935;2.125;2.290;0.211;19;>10.0;0.00103;0.650;
MANAGE COMMUN Q;0893-3189;744;2.085;1.838;0.321;28;8.4;0.00160;0.739;
MANAGE ORGAN REV;1740-8776;661;2.442;3.078;1.714;21;5.8;0.00194;1.198;
MANAGE SCI;0025-1909;21112;2.482;3.399;0.512;166;>10.0;0.03063;2.672;
MAR POLICY;0308-597X;3805;2.610;2.768;0.645;279;4.7;0.00914;0.719;
MAR RESOUR ECON;0738-1360;740;2.071;2.179;0.364;22;8.6;0.00145;0.813;
MATERN CHILD HLTH J;1092-7875;3257;2.083;2.414;0.344;256;4.5;0.01039;0.797;
MED CARE;0025-7079;16591;3.232;3.687;0.938;177;>10.0;0.02438;1.794;
MED CARE RES REV;1077-5587;1698;2.615;3.188;0.316;38;7.5;0.00476;1.571;
MEM COGNITION;0090-502X;7684;2.457;2.577;0.642;106;>10.0;0.00907;1.063;
MICH LAW REV;0026-2234;2212;4.018;3.277;0.500;32;>10.0;0.00363;1.474;
MILBANK Q;0887-378X;3066;3.383;6.342;0.297;37;>10.0;0.00609;3.198;
MINDFULNESS;1868-8527;535;3.692;;0.290;69;3.1;0.00198;;
MIS QUART;0276-7783;9600;5.311;8.490;0.796;54;>10.0;0.01203;3.092;
MULTIVAR BEHAV RES;0027-3171;3905;2.477;4.084;0.316;38;>10.0;0.00713;2.689;
NAT CLIM CHANGE;1758-678X;5415;14.547;15.462;3.774;146;2.2;0.03759;7.539;
NEUROBIOL LEARN MEM;1074-7427;5453;3.652;3.914;0.892;185;6.3;0.01215;1.246;
NEUROPSYCHOL REV;1040-7308;2028;4.592;7.531;1.172;29;6.0;0.00511;2.475;
NEUROPSYCHOLOGIA;0028-3932;23315;3.302;4.178;0.597;352;8.0;0.04393;1.426;
NEUROPSYCHOLOGY;0894-4105;5122;3.269;4.447;0.667;96;8.5;0.00957;1.612;
NEW MEDIA SOC;1461-4448;1794;2.007;2.854;0.394;71;5.1;0.00789;1.340;
NEW YORK U LAW REV;0028-7881;1608;2.605;2.152;0.271;48;>10.0;0.00319;0.984;
NICOTINE TOB RES;1462-2203;6499;3.296;3.448;0.620;229;5.7;0.01941;1.259;
OMEGA-INT J MANAGE S;0305-0483;4546;4.376;4.139;1.011;93;7.3;0.00793;1.240;
ONCOL NURS FORUM;0190-535X;2655;2.788;3.080;0.403;62;8.6;0.00400;0.920;
ORGAN BEHAV HUM DEC;0749-5978;8268;2.201;3.938;0.333;54;>10.0;0.01137;2.487;
ORGAN RES METHODS;1094-4281;3130;4.148;5.465;0.611;18;8.6;0.00753;3.058;
ORGAN SCI;1047-7039;12120;3.775;6.309;0.272;92;>10.0;0.02527;3.753;
ORGAN STUD;0170-8406;4666;2.886;3.856;0.578;64;9.2;0.00861;1.772;
PATIENT EDUC COUNS;0738-3991;8834;2.199;2.975;0.424;229;6.7;0.02028;1.008;
PERS PSYCHOL;0031-5826;5432;4.490;6.227;0.480;25;>10.0;0.00705;3.363;
PERS SOC PSYCHOL B;0146-1672;12023;2.909;3.527;0.433;127;>10.0;0.01986;1.963;
PERS SOC PSYCHOL REV;1088-8683;3862;6.692;10.443;1.650;20;8.9;0.00887;5.761;
PERSONAL DISORD;1949-2715;557;3.221;3.713;0.929;56;2.7;0.00304;1.406;
PERSPECT POLIT;1537-5927;1032;2.132;2.661;0.333;42;5.9;0.00657;2.154;
PERSPECT PSYCHOL SCI;1745-6916;4439;9.546;10.288;2.643;56;4.0;0.02469;5.201;
PERSPECT SEX REPRO H;1538-6341;1138;2.339;2.781;0.818;22;7.6;0.00259;1.118;
PHARMACOECONOMICS;1170-7690;3241;2.450;2.574;0.800;90;8.2;0.00555;0.876;
PHYSIOL BEHAV;0031-9384;18384;2.976;3.190;0.583;331;>10.0;0.02287;0.977;
POLICY SCI;0032-2687;1108;2.457;2.898;0.381;21;>10.0;0.00147;1.053;
POLIT ANAL;1047-1987;1934;4.655;4.659;0.692;26;8.0;0.01007;4.806;
POLIT GEOGR;0962-6298;1883;2.676;2.900;0.404;47;8.1;0.00446;1.397;
POLIT PSYCHOL;0162-895X;1972;2.384;2.679;0.774;53;9.3;0.00552;1.640;
POP STUD-J DEMOG;0032-4728;1329;2.150;2.053;0.143;21;>10.0;0.00147;0.977;
POPUL HEALTH METR;1478-7954;774;3.347;;0.452;31;4.2;0.00418;;
PREV CHRONIC DIS;1545-1151;2633;2.123;2.125;0.346;214;5.0;0.00879;0.769;
PREV SCI;1389-4986;2128;3.153;3.724;0.464;97;7.3;0.00531;1.512;
PROG HUM GEOG;0309-1325;3548;5.010;5.570;0.824;51;7.8;0.00879;2.336;
PSYCHIAT CLIN N AM;0193-953X;2171;2.133;2.783;0.103;39;9.2;0.00379;0.959;
PSYCHIAT RES;0165-1781;13160;2.467;2.947;0.373;581;6.5;0.02730;0.849;
PSYCHIAT SERV;1075-2730;8474;2.412;3.013;0.674;227;7.7;0.01489;0.980;
PSYCHIATRY;0033-2747;1617;3.048;3.745;1.190;21;9.6;0.00208;1.233;
PSYCHO-ONCOLOGY;1057-9249;6751;2.443;3.285;0.480;175;6.2;0.01604;1.046;
PSYCHOL ADDICT BEHAV;0893-164X;3987;2.747;3.404;0.255;141;7.1;0.00879;1.141;
PSYCHOL AESTHET CREA;1931-3896;623;3.054;2.672;0.915;47;3.5;0.00255;0.922;
PSYCHOL AGING;0882-7974;7894;2.646;3.949;0.417;84;>10.0;0.01310;1.565;
PSYCHOL ASSESSMENT;1040-3590;7130;2.751;3.900;0.438;130;>10.0;0.01126;1.516;
PSYCHOL BULL;0033-2909;36794;14.756;22.155;3.277;47;>10.0;0.03204;10.089;
PSYCHOL INQ;1047-840X;2700;6.250;8.239;1.000;6;>10.0;0.00345;4.730;
PSYCHOL LEARN MOTIV;0079-7421;1427;2.964;4.289;0.812;16;>10.0;0.00254;1.924;
PSYCHOL MED;0033-2917;19189;5.938;6.336;1.024;293;8.6;0.03705;2.227;
PSYCHOL METHODS;1082-989X;7617;7.338;9.414;0.484;31;>10.0;0.01360;5.905;
PSYCHOL MUSIC;0305-7356;984;2.173;2.228;0.481;54;8.5;0.00155;0.657;
PSYCHOL RES-PSYCH FO;0340-0727;2447;2.863;2.760;0.899;69;8.2;0.00481;0.971;
PSYCHOL REV;0033-295X;24097;7.972;11.398;1.192;26;>10.0;0.01713;5.799;
PSYCHOL SCI;0956-7976;23416;4.940;6.473;1.366;254;7.6;0.06720;3.226;
PSYCHOL SCI PUBL INT;1529-1006;685;16.833;;0.500;4;5.9;0.00258;;
PSYCHOL TRAUMA-US;1942-9681;672;2.308;2.470;0.303;99;3.0;0.00333;0.835;
PSYCHOL VIOLENCE;2152-0828;251;2.368;2.975;0.364;33;2.7;0.00131;1.034;
PSYCHON B REV;1069-9384;8425;3.369;3.650;0.567;180;8.5;0.01726;1.493;
PSYCHOPATHOLOGY;0254-4962;1578;2.084;2.156;0.320;50;8.1;0.00238;0.618;
PSYCHOPHYSIOLOGY;0048-5772;11284;2.986;3.696;0.917;144;>10.0;0.01428;1.217;
PSYCHOSOM MED;0033-3174;11333;3.473;4.819;0.767;86;>10.0;0.01565;1.711;
PSYCHOTHER PSYCHOSOM;0033-3190;2866;9.196;6.918;1.667;27;7.7;0.00551;2.195;
PUBLIC HEALTH GENOM;1662-4246;496;2.208;2.202;0.303;33;3.7;0.00251;0.726;
Q J ECON;0033-5533;17890;6.654;9.794;0.850;40;>10.0;0.05458;16.062;
Q J EXP PSYCHOL;1747-0218;4280;2.127;2.449;0.651;149;6.2;0.01221;0.972;
QUAL LIFE RES;0962-9343;8537;2.486;3.102;0.450;280;8.4;0.01552;1.042;
READ RES QUART;0034-0553;1760;2.884;3.411;0.167;24;>10.0;0.00285;1.891;
REG ENVIRON CHANGE;1436-3798;1340;2.628;2.946;0.571;163;3.3;0.00464;0.872;
REG STUD;0034-3404;3529;2.068;2.372;0.373;118;8.8;0.00632;0.892;
RES AUTISM SPECT DIS;1750-9467;2229;2.212;2.700;0.263;179;3.6;0.00693;0.633;
RES LANG SOC INTERAC;0835-1813;740;2.897;2.621;1.360;25;8.8;0.00232;1.680;
RES POLICY;0048-7333;11035;3.117;4.257;0.559;136;9.9;0.01533;1.543;
RESOUR POLICY;0301-4207;909;2.053;2.288;0.136;59;5.3;0.00236;0.658;
REV ECON STAT;0034-6535;9942;2.749;3.739;0.465;71;>10.0;0.03158;4.552;
REV ECON STUD;0034-6527;8742;4.038;4.705;0.481;52;>10.0;0.03651;9.052;
REV EDUC RES;0034-6543;4649;3.897;7.286;0.167;18;>10.0;0.00651;3.907;
REV ENV ECON POLICY;1750-6816;479;3.097;3.630;0.938;16;4.7;0.00310;2.408;
REV FINANC;1572-3097;664;2.012;2.384;0.197;61;5.5;0.00612;2.552;
REV FINANC STUD;0893-9454;8671;3.174;6.192;0.505;93;7.4;0.06084;6.941;
RISK ANAL;0272-4332;5918;2.502;2.539;0.274;146;9.4;0.01142;1.013;
SCAND J WORK ENV HEA;0355-3140;4338;3.454;4.060;0.650;60;>10.0;0.00589;1.395;
SCHIZOPHR RES;0920-9964;17683;3.923;4.644;0.668;391;6.6;0.03325;1.273;
SCHIZOPHRENIA BULL;0586-7614;13525;8.450;8.686;1.859;177;6.7;0.02806;2.681;
SCHOOL PSYCHOL QUART;1045-3830;1039;2.182;2.927;0.615;39;7.4;0.00177;1.021;
SCHOOL PSYCHOL REV;0279-6015;1748;2.280;3.014;0.583;24;9.5;0.00298;1.266;
SCI EDUC;0036-8326;3098;2.825;3.393;0.386;44;>10.0;0.00546;1.608;
SCI STUD READ;1088-8438;1186;2.941;3.093;0.923;26;7.9;0.00230;1.225;
SCI TECHNOL HUM VAL;0162-2439;1495;2.194;2.475;0.500;32;9.3;0.00250;0.984;
SCIENTOMETRICS;0138-9130;5805;2.183;2.316;0.334;338;6.5;0.00781;0.431;
SEX ABUSE-J RES TR;1079-0632;985;2.113;2.423;0.423;26;8.6;0.00151;0.733;
SOC COGN AFFECT NEUR;1749-5016;3937;7.372;7.332;0.888;250;3.3;0.01563;2.590;
SOC PSYCH PSYCH EPID;0933-7954;5948;2.537;2.728;0.595;185;7.8;0.01072;0.850;
SOC PSYCHOL PERS SCI;1948-5506;1000;2.561;2.856;0.527;112;2.9;0.00829;1.602;
SOC SCI MED;0277-9536;30874;2.890;3.544;0.528;525;9.2;0.05306;1.353;
SOC STUD SCI;0306-3127;2153;2.351;2.678;0.667;39;>10.0;0.00378;1.301;
SOCIOL METHOD RES;0049-1241;2482;2.205;3.126;0.857;28;>10.0;0.00400;2.271;
SOCIOL METHODOL;0081-1750;2230;2.450;4.021;0.286;7;>10.0;0.00249;3.262;
SOCIOL THEOR;0735-2751;1245;2.226;2.714;0.222;18;>10.0;0.00244;1.832;
STANFORD LAW REV;0038-9765;2846;3.782;4.069;2.111;27;>10.0;0.00398;1.926;
STRATEGIC MANAGE J;0143-2095;18822;3.341;6.061;0.262;122;>10.0;0.01911;3.167;
STRUCT EQU MODELING;1070-5511;8987;4.176;7.206;0.304;46;>10.0;0.00994;3.793;
STUD SCI EDUC;0305-7267;321;2.083;3.061;0.667;6;>10.0;0.00070;1.336;
SUBST ABUS;0889-7077;715;2.097;2.409;0.604;53;5.3;0.00201;0.739;
SUPPLY CHAIN MANAG;1359-8546;2311;3.500;3.902;0.542;48;7.3;0.00303;0.891;
T I BRIT GEOGR;0020-2754;2552;3.636;4.309;0.295;44;8.7;0.00608;1.849;
TECHNOL FORECAST SOC;0040-1625;3486;2.058;2.634;0.363;204;6.1;0.00717;0.722;
TECHNOVATION;0166-4972;2986;2.526;3.636;0.567;67;7.8;0.00391;0.880;
TEX LAW REV;0040-4411;1689;2.826;2.508;1.622;37;10.0;0.00328;1.070;
THINK REASONING;1354-6783;524;2.200;2.062;0.609;23;7.4;0.00113;0.736;
TOB CONTROL;0964-4563;5600;5.933;5.352;2.133;135;6.3;0.01458;2.018;
TOP COGN SCI;1756-8757;850;3.063;3.563;0.596;47;4.0;0.00534;1.468;
TOURISM MANAGE;0261-5177;6944;2.554;3.762;0.476;145;7.5;0.00853;0.826;
TRANSCULT PSYCHIATRY;1363-4615;719;2.114;1.826;0.951;41;6.1;0.00186;0.680;
TRANSPORT RES A-POL;0965-8564;4814;2.789;3.563;0.362;199;8.0;0.00948;1.298;
TRANSPORT RES B-METH;0191-2615;6014;2.952;4.116;0.408;125;9.4;0.01092;1.421;
TRANSPORT RES E-LOG;1366-5545;2947;2.676;3.513;0.404;141;5.6;0.00843;1.220;
TRANSPORT REV;0144-1647;1348;2.903;3.188;0.250;36;6.7;0.00359;1.248;
TRANSPORT SCI;0041-1655;3586;3.043;3.753;0.805;41;>10.0;0.00560;2.026;
TRANSPORTATION;0049-4488;1945;2.358;2.479;0.292;65;8.0;0.00414;1.015;
TRANSPORTMETRICA;1812-8602;328;3.773;2.684;;0;4.6;0.00114;0.944;
TRANSPORTMETRICA B;2168-0566;33;2.417;2.417;0.308;13;;0.00025;1.313;
TRAUMA VIOLENCE ABUS;1524-8380;997;2.676;4.414;0.481;27;7.2;0.00234;1.695;
TRENDS COGN SCI;1364-6613;20396;21.965;22.500;3.150;60;8.3;0.04585;9.498;
U PENN LAW REV;0041-9907;2431;3.481;3.320;0.780;41;>10.0;0.00458;1.485;
UCLA LAW REV;0041-5650;1293;2.562;2.667;0.333;30;9.7;0.00305;1.307;
URBAN FOR URBAN GREE;1618-8667;1083;2.109;2.721;0.182;99;5.2;0.00224;0.636;
VA LAW REV;0042-6601;2131;2.522;2.383;0.344;32;>10.0;0.00308;1.060;
VALUE HEALTH;1098-3015;4484;3.279;3.373;0.550;100;5.1;0.01472;1.152;
WIRES CLIM CHANGE;1757-7780;1167;3.415;5.210;0.929;56;3.6;0.00686;2.017;
WOMEN HEALTH ISS;1049-3867;1357;2.330;2.396;0.325;80;5.0;0.00437;0.865;
WORK STRESS;0267-8373;1884;2.386;4.433;1.130;23;9.0;0.00258;1.560;
WORLD POLIT;0043-8871;2590;2.450;4.020;0.650;20;>10.0;0.00564;3.551;
WORLD PSYCHIATRY;1723-8617;1914;14.225;11.188;6.200;20;4.0;0.00481;3.002;
WORLDV EVID-BASED NU;1545-102X;576;2.381;2.477;0.295;44;6.1;0.00125;0.723;
YALE LAW J;0044-0094;4728;4.032;4.260;1.517;58;>10.0;0.00592;1.902;

