Abbreviated Journal Title;ISSN;{2013} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2013} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AUST NZ J CRIMINOL;0004-8658;262;0.651;1.019;0.000;22;6.8;0.00088;0.487;
AUST NZ J FAM THER;0814-723X;127;0.239;0.464;0.200;25;6.7;0.00019;0.102;
AUST NZ J PSYCHIAT;0004-8674;5081;3.765;3.425;2.046;130;7.2;0.00891;0.958;
AUST NZ J PUBL HEAL;1326-0200;2418;1.897;1.835;0.288;73;8.9;0.00415;0.578;
AUST PSYCHOL;0005-0067;532;1.000;1.070;0.021;48;9.0;0.00079;0.334;
AUST SOC WORK;0312-407X;251;0.591;;0.405;37;6.7;0.00051;;
AUSTRALAS J AGEING;1440-6381;407;1.119;1.268;0.068;44;5.4;0.00099;0.323;
AUSTRALAS J EDUC TEC;1449-5554;513;0.875;1.198;0.067;60;4.2;0.00187;0.354;
AUSTRALAS J ENV MAN;1448-6563;159;0.567;0.802;0.238;21;5.9;0.00031;0.196;
AUSTRALAS PSYCHIATRY;1039-8562;603;0.556;0.730;0.174;109;5.5;0.00112;0.161;
AUSTRIAN HIST YEARB;0067-2378;31;0.429;;0.000;12;;0.00025;;
AUTISM;1362-3613;1780;3.500;3.936;0.588;51;7.1;0.00366;1.167;
AUTISM RES;1939-3792;1002;4.532;5.337;0.576;59;3.5;0.00498;1.652;
AYER;1134-2277;117;0.206;;0.050;40;7.4;0.00073;;
B ASOC GEOGR ESP;0212-9426;79;0.100;0.154;0.036;55;;0.00012;0.028;
B ATOM SCI;0096-3402;266;1.010;0.732;0.348;46;4.0;0.00159;0.435;
B ECON RES;0307-3378;181;0.333;0.360;0.059;34;>10.0;0.00038;0.166;
B HIST MED;0007-5140;454;0.529;0.652;0.000;19;>10.0;0.00072;0.482;
B INDONES ECON STUD;0007-4918;157;1.067;0.776;0.571;14;7.7;0.00030;0.236;
B LAT AM RES;0261-3050;187;0.288;;0.061;33;9.7;0.00044;;
B MENNINGER CLIN;0025-9284;389;0.257;0.765;0.158;19;>10.0;0.00035;0.261;
BABEL-AMSTERDAM;0521-9744;40;0.146;;0.000;12;;0.00006;;
BALT J ECON;1406-099X;15;0.250;0.182;0.000;11;;0.00024;0.321;
BALT J MANAG;1746-5265;58;0.190;0.412;0.042;24;;0.00013;0.076;
BARIAT NURS SURG PAT;1557-1459;44;0.130;0.240;;0;;0.00009;0.044;
BASIC APPL SOC PSYCH;0197-3533;1216;0.659;1.128;0.377;53;>10.0;0.00185;0.567;
BE J ECON ANAL POLI;1935-1682;430;0.432;0.710;0.067;15;4.9;0.00520;0.761;
BE J MACROECON;1935-1690;175;0.293;0.453;0.000;16;5.6;0.00141;0.401;
BE J THEOR ECON;1935-1704;109;0.259;0.462;0.056;18;4.0;0.00236;0.777;
BEHAV BRAIN SCI;0140-525X;7017;14.962;22.821;4.476;21;>10.0;0.00965;10.342;
BEHAV CHANGE;0813-4839;303;0.667;0.804;0.000;20;9.5;0.00035;0.226;
BEHAV COGN PSYCHOTH;1352-4658;1213;1.426;2.032;0.250;48;7.2;0.00258;0.620;
BEHAV DISORDERS;0198-7429;362;0.529;0.681;0.467;15;>10.0;0.00036;0.228;
BEHAV GENET;0001-8244;3502;2.839;3.085;0.864;44;9.6;0.00672;1.186;
BEHAV INFORM TECHNOL;0144-929X;1035;0.839;1.261;0.063;95;8.0;0.00162;0.352;
BEHAV INTERVENT;1072-0847;360;0.756;0.867;0.095;21;8.2;0.00060;0.345;
BEHAV MED;0896-4289;587;1.143;1.595;0.048;21;>10.0;0.00071;0.505;
BEHAV MODIF;0145-4455;1562;1.811;2.194;0.600;35;8.2;0.00227;0.696;
BEHAV PROCESS;0376-6357;3122;1.457;1.760;0.285;165;7.5;0.00740;0.604;
BEHAV PSYCHOL;1132-9483;203;0.829;0.767;0.062;32;4.8;0.00028;0.106;
BEHAV RES METHODS;1554-351X;7622;2.458;4.986;0.348;112;6.8;0.02181;2.257;
BEHAV RES THER;0005-7967;13082;3.845;4.564;0.579;114;>10.0;0.01610;1.447;
BEHAV SCI LAW;0735-3936;1382;1.212;1.727;0.333;54;8.3;0.00273;0.640;
BEHAV THER;0005-7894;3366;3.099;3.457;0.927;55;9.7;0.00529;1.189;
BER WISSGESCH;0170-6233;44;0.061;0.228;0.000;15;;0.00020;0.133;
BERL J SOZIOL;0863-1808;76;0.225;0.319;0.000;29;;0.00025;0.133;
BETRIEB FORSCH PRAX;0340-5370;133;0.114;0.178;0.059;34;>10.0;0.00013;0.045;
BIJDR TAAL-LAND-V;0006-2294;123;0.297;0.205;0.000;11;>10.0;0.00016;0.107;
BILIG;1301-0549;28;0.040;0.081;0.056;54;;0.00005;0.014;
BILING-LANG COGN;1366-7289;1094;1.907;2.600;0.579;57;6.6;0.00327;1.062;
BIODEMOGR SOC BIOL;1948-5565;87;1.227;;0.167;12;;0.00068;;
BIOETHICS;0269-9702;908;1.356;1.471;0.333;60;6.4;0.00243;0.522;
BIOL PHILOS;0169-3867;821;0.907;1.090;0.358;53;8.3;0.00144;0.407;
BIOL PSYCHOL;0301-0511;6530;3.473;4.173;0.933;180;6.4;0.01479;1.315;
BIOSECUR BIOTERROR;1538-7135;334;1.618;1.532;0.019;54;5.1;0.00122;0.582;
BIOSEMIOTICS-NETH;1875-1342;85;0.488;0.648;0.111;36;;0.00007;0.034;
BIOSOCIETIES;1745-8552;384;2.000;2.192;0.227;22;5.0;0.00185;1.069;
BIRTH-ISS PERINAT C;0730-7659;1744;2.048;2.685;0.154;39;8.5;0.00292;0.875;
BMC GERIATR;1471-2318;1267;2.000;;0.206;136;4.3;0.00476;;
BMC INT HEALTH HUM R;1472-698X;393;1.096;;0.205;44;4.3;0.00192;;
BMC MED EDUC;1472-6920;1253;1.409;1.725;0.139;173;4.4;0.00385;0.500;
BMC MED ETHICS;1472-6939;338;1.600;;0.361;61;4.2;0.00113;;
BMC PALLIAT CARE;1472-684X;307;1.787;;0.500;42;3.8;0.00126;;
BMC WOMENS HEALTH;1472-6874;601;1.657;;0.212;52;4.2;0.00236;;
BMGN;0165-0505;43;0.125;;0.074;27;;0.00016;;
BMJ QUAL SAF;2044-5415;1136;3.281;3.308;1.348;112;2.0;0.00559;1.138;
BODY IMAGE;1740-1445;1591;2.156;2.849;0.267;86;5.4;0.00328;0.646;
BODY SOC;1357-034X;654;1.139;1.800;0.263;19;8.9;0.00174;0.948;
BOSTON U LAW REV;0006-8047;681;0.911;0.940;0.932;59;6.7;0.00170;0.361;
BOUNDARY TWO;0190-3659;128;0.067;0.208;0.071;28;>10.0;0.00037;0.176;
BRAIN COGNITION;0278-2626;6147;2.683;3.790;0.492;122;8.0;0.01335;1.254;
BRAIN INJURY;0269-9052;4370;1.861;2.179;0.194;206;8.2;0.00625;0.584;
BRAIN LANG;0093-934X;5920;3.309;3.725;0.803;147;>10.0;0.00855;1.249;
BRIT EDUC RES J;0141-1926;1189;1.172;1.760;0.098;51;7.9;0.00332;0.854;
BRIT J CLIN PSYCHOL;0144-6657;2896;2.377;2.872;0.094;32;>10.0;0.00250;0.914;
BRIT J CRIMINOL;0007-0955;1652;1.532;2.008;0.193;57;9.4;0.00441;1.063;
BRIT J DEV DISABIL;0969-7950;54;0.231;0.245;;0;;0.00004;0.044;
BRIT J DEV PSYCHOL;0261-510X;1839;1.957;2.017;0.207;29;>10.0;0.00355;0.899;
BRIT J EDUC PSYCHOL;0007-0998;2107;2.250;2.468;0.378;37;9.9;0.00299;0.955;
BRIT J EDUC STUD;0007-1005;354;0.636;1.046;0.130;23;7.9;0.00098;0.544;
BRIT J EDUC TECHNOL;0007-1013;1441;1.394;1.912;0.110;118;5.1;0.00462;0.607;
BRIT J GUID COUNS;0306-9885;457;0.565;0.882;0.049;41;9.1;0.00062;0.242;
BRIT J HEALTH PSYCH;1359-107X;1724;2.045;2.911;0.750;52;6.4;0.00429;0.950;
BRIT J HIST SCI;0007-0874;308;0.614;0.571;0.000;24;>10.0;0.00080;0.456;
BRIT J IND RELAT;0007-1080;971;1.074;1.468;0.188;32;9.3;0.00246;0.865;
BRIT J LEARN DISABIL;1354-4187;278;0.300;;0.019;52;7.8;0.00051;;
BRIT J MANAGE;1045-3172;1764;1.909;2.661;0.279;43;7.8;0.00375;0.896;
BRIT J MATH STAT PSY;0007-1102;1096;1.527;1.974;0.926;27;>10.0;0.00324;1.289;
BRIT J MIDDLE E STUD;1353-0194;81;0.459;0.382;0.043;23;;0.00048;0.282;
BRIT J MUSIC EDUC;0265-0517;212;0.217;;0.000;20;8.7;0.00036;;
BRIT J OCCUP THER;0308-0226;844;0.897;;0.429;63;7.3;0.00088;;
BRIT J PHILOS SCI;0007-0882;995;1.017;1.519;0.143;35;>10.0;0.00157;0.613;
BRIT J POLIT INT REL;1369-1481;400;0.986;0.979;0.135;37;6.4;0.00183;0.589;
BRIT J POLIT SCI;0007-1234;1799;1.531;2.427;0.282;39;>10.0;0.00770;2.323;
BRIT J PSYCHIAT;0007-1250;22364;7.343;7.815;1.931;116;>10.0;0.02908;2.548;
BRIT J PSYCHOL;0007-1269;3324;3.389;3.469;0.444;36;>10.0;0.00429;1.315;
BRIT J RELIG EDUC;0141-6200;115;0.512;0.604;0.000;20;5.8;0.00029;0.172;
BRIT J SOC PSYCHOL;0144-6665;2471;1.505;2.629;0.245;49;>10.0;0.00463;1.241;
BRIT J SOC WORK;0045-3102;1501;1.162;1.484;0.096;83;6.5;0.00380;0.489;
BRIT J SOCIOL;0007-1315;1642;1.013;2.170;0.438;32;>10.0;0.00417;1.462;
BRIT J SOCIOL EDUC;0142-5692;813;0.753;0.957;0.073;55;9.6;0.00164;0.427;
BRIT POLIT;1746-918X;120;0.419;0.821;0.000;20;4.7;0.00107;0.575;
BRIT WORLD;2043-8567;6;0.208;0.107;0.000;12;;0.00010;0.109;
BROOKINGS PAP ECO AC;0007-2303;1792;3.120;6.083;0.083;12;>10.0;0.00909;9.096;
BUFFALO LAW REV;0023-9356;198;0.311;0.528;;;9.6;0.00042;0.207;
BUS ETHICS;0962-8770;446;0.467;1.217;0.133;30;7.4;0.00087;0.379;
BUS ETHICS Q;1052-150X;1182;2.702;3.486;0.353;17;10.0;0.00259;1.428;
BUS HIST;0007-6791;418;0.564;0.603;0.559;59;7.4;0.00075;0.200;
BUS HIST REV;0007-6805;359;0.725;0.790;0.150;20;>10.0;0.00051;0.308;
BUS HORIZONS;0007-6813;1350;1.284;1.962;0.235;68;8.3;0.00293;0.662;
BUS SOC;0007-6503;888;1.804;2.127;0.400;25;>10.0;0.00167;0.909;
BUS STRATEG ENVIRON;0964-4733;1482;2.877;;0.265;34;7.1;0.00208;;
CAD SAUDE PUBLICA;0102-311X;4173;0.888;1.321;0.109;230;6.7;0.00741;0.340;
CADMO;1122-5165;12;0.278;0.132;0.000;10;;0.00003;0.031;
CALIDOSCOPIO;1679-8740;4;0.000;0.017;0.000;29;;0.00002;0.010;
CALIF LAW REV;0008-1221;1582;2.230;2.020;;;>10.0;0.00330;0.977;
CALIF MANAGE REV;0008-1256;2683;1.944;2.672;0.893;28;>10.0;0.00211;1.091;
CAMB J ECON;0309-166X;1327;0.914;1.545;0.286;63;9.1;0.00422;0.848;
CAMB J EDUC;0305-764X;409;0.474;;0.097;31;8.5;0.00101;;
CAMB J REG ECON SOC;1752-1378;303;0.696;2.147;0.926;27;3.8;0.00218;1.016;
CAMB LAW J;0008-1973;112;0.195;;0.050;20;9.6;0.00039;;
CAMB Q HEALTHC ETHIC;0963-1801;307;0.584;0.589;0.216;37;6.8;0.00062;0.194;
CAMB REV INT AFF;0955-7571;68;0.143;0.444;0.000;33;;0.00047;0.188;
CAN GEOGR-GEOGR CAN;0008-3658;593;1.172;0.971;0.105;38;>10.0;0.00090;0.387;
CAN J ADM SCI;0825-0383;316;0.547;0.609;0.000;22;>10.0;0.00044;0.198;
CAN J AGING;0714-9808;521;0.917;1.037;0.111;36;7.9;0.00110;0.350;
CAN J AGR ECON;0008-3976;391;0.707;0.868;0.037;27;7.8;0.00080;0.319;
CAN J BEHAV SCI;0008-400X;870;0.851;1.178;0.375;32;>10.0;0.00112;0.443;
CAN J CRIMINOL CRIM;1707-7753;299;0.333;0.611;0.125;24;>10.0;0.00036;0.191;
CAN J DEV STUD;0225-5189;126;0.776;0.416;0.029;34;4.0;0.00047;0.188;
CAN J ECON;0008-4085;1364;0.641;0.990;0.095;63;>10.0;0.00401;0.778;
CAN J EXP PSYCHOL;1196-1961;867;1.361;1.390;0.963;27;>10.0;0.00154;0.600;
CAN J INFORM LIB SCI;1195-096X;31;0.074;0.100;0.000;16;;0.00005;0.045;
CAN J OCCUP THER;0008-4174;608;0.742;;0.143;28;9.3;0.00073;;
CAN J POLIT SCI;0008-4239;331;0.290;0.484;0.000;36;>10.0;0.00085;0.282;
CAN J PSYCHIAT;0706-7437;4129;2.406;3.033;0.719;89;8.1;0.00741;0.982;
CAN J PUBLIC HEALTH;0008-4263;2065;1.094;1.325;;;8.7;0.00331;0.439;
CAN J SOCIOL;0318-6431;234;0.308;0.500;0.000;21;>10.0;0.00049;0.311;
CAN MOD LANG REV;0008-4506;359;0.361;0.923;0.000;18;>10.0;0.00088;0.508;
CAN PSYCHOL;0708-5591;735;0.806;2.333;0.370;27;6.5;0.00205;0.818;
CAN PUBLIC ADMIN;0008-4840;164;0.222;0.436;0.677;31;7.2;0.00037;0.168;
CAN PUBLIC POL;0317-0861;317;0.620;0.664;0.043;46;9.9;0.00073;0.305;
CAN REV SOCIOL;1755-6171;441;0.568;0.788;0.300;20;>10.0;0.00031;0.221;
CAN STUD POPUL;0380-1489;70;0.121;;0.000;7;;0.00025;;
CANCER NURS;0162-220X;2543;1.931;2.488;0.416;89;8.1;0.00395;0.697;
CARBON MANAG;1758-3004;233;1.722;2.167;0.667;36;2.6;0.00131;0.820;
CAREER DEV INT;1362-0436;575;1.000;;0.294;34;5.9;0.00141;;
CAREER DEV Q;0889-4019;514;0.942;0.962;0.031;32;>10.0;0.00054;0.243;
CARTOGR GEOGR INF SC;1523-0406;418;0.500;;0.405;37;9.7;0.00070;;
CARTOGR J;0008-7041;245;0.230;0.646;0.044;45;8.1;0.00053;0.216;
CENT EUR HIST;0008-9389;129;0.116;0.240;0.136;22;>10.0;0.00057;0.344;
CENT EUR J PUBL HEAL;1210-7778;415;0.798;;0.000;41;6.9;0.00091;;
CENTAURUS;0008-8994;107;0.286;;0.167;18;>10.0;0.00035;;
CEPAL REV;0251-2920;131;0.233;0.306;0.133;30;8.1;0.00031;0.128;
CESIFO ECON STUD;1610-241X;192;0.738;0.679;0.185;27;5.9;0.00102;0.447;
CESK PSYCHOL;0009-062X;136;0.292;0.240;0.111;45;7.1;0.00005;0.014;
CHEM EDUC RES PRACT;1109-4028;510;1.309;1.436;0.224;49;5.4;0.00138;0.424;
CHILD ABUSE NEGLECT;0145-2134;5989;2.135;3.036;0.661;127;>10.0;0.00765;0.966;
CHILD ABUSE REV;0952-9136;409;0.787;0.944;1.588;34;6.7;0.00066;0.280;
CHILD ADOL MENT H-UK;1475-357X;399;0.954;1.366;0.118;34;5.8;0.00116;0.454;
CHILD ADOL PSYCH CL;1056-4993;1632;2.481;3.474;0.583;36;5.5;0.00477;1.076;
CHILD CARE HLTH DEV;0305-1862;2258;1.832;2.048;0.404;99;6.3;0.00542;0.646;
CHILD DEV;0009-3920;22863;4.235;5.834;0.816;147;>10.0;0.02775;2.539;
CHILD DEV PERSPECT;1750-8592;691;2.602;2.713;0.689;45;3.1;0.00438;1.217;
CHILD FAM BEHAV THER;0731-7107;254;0.455;0.762;0.062;16;>10.0;0.00034;0.243;
CHILD FAM SOC WORK;1356-7500;555;0.824;0.938;0.149;47;6.9;0.00106;0.285;
CHILD GEOGR;1473-3285;421;1.263;1.500;0.156;32;5.9;0.00131;0.561;
CHILD HEALTH CARE;0273-9615;369;0.429;0.893;0.143;21;9.6;0.00047;0.273;
CHILD INDIC RES;1874-897X;178;1.038;1.171;0.125;40;3.1;0.00059;0.243;
CHILD LANG TEACH THE;0265-6590;206;0.571;0.677;0.143;21;9.2;0.00032;0.205;
CHILD MALTREATMENT;1077-5595;1374;2.706;3.738;0.640;25;7.2;0.00299;1.239;
CHILD PSYCHIAT HUM D;0009-398X;965;1.633;2.160;0.431;65;5.3;0.00273;0.689;
CHILD SOC;0951-0605;429;0.684;0.984;0.000;39;7.5;0.00124;0.391;
CHILD YOUTH CARE FOR;1053-1890;290;0.924;1.037;0.235;34;5.8;0.00067;0.294;
CHILD YOUTH SERV REV;0190-7409;2622;1.046;1.383;0.198;253;4.9;0.00661;0.359;
CHILDHOOD;0907-5682;589;0.882;1.179;0.088;34;9.0;0.00119;0.459;
CHIN J COMMUN;1754-4750;42;0.364;0.362;0.000;23;;0.00033;0.169;
CHIN J INT LAW;1540-1650;117;0.490;0.476;0.043;23;5.2;0.00078;0.319;
CHIN J INT POLIT;1750-8916;85;1.000;1.197;0.062;16;;0.00057;0.517;
CHIN MANAG STUD;1750-614X;77;0.338;0.469;0.250;32;;0.00019;0.088;
CHINA AGR ECON REV;1756-137X;65;0.540;0.504;0.103;29;;0.00041;0.202;
CHINA ECON REV;1043-951X;854;1.142;1.488;0.150;60;5.7;0.00288;0.570;
CHINA INT J;0219-7472;73;0.244;;0.037;27;;0.00043;;
CHINA J;1324-9347;292;0.941;1.329;0.375;8;9.1;0.00129;1.059;
CHINA QUART;0305-7410;1312;0.872;1.684;0.318;44;>10.0;0.00413;1.304;
CHINA REV;1680-2012;54;0.217;0.375;0.000;10;;0.00032;0.268;
CHINA WORLD ECON;1671-2234;241;0.772;0.820;0.054;37;4.4;0.00131;0.383;
CHINESE SOC ANTHROP;0009-4625;32;0.000;0.088;;0;;0.00007;0.063;
CHINESE SOCIOL REV;2162-0555;12;0.462;0.462;0.000;16;;0.00008;0.178;
CHUNGARA;0717-7356;333;0.638;0.664;0.241;29;9.6;0.00028;0.120;
CIENC SAUDE COLETIVA;1413-8123;1711;0.572;0.684;0.101;355;4.8;0.00315;0.127;
CIN-COMPUT INFORM NU;1538-2931;459;0.812;1.022;0.043;69;4.8;0.00104;0.227;
CIRC LINGUIST APL CO;1576-4737;15;0.261;;0.000;20;;0.00002;;
CITIES;0264-2751;1296;1.836;2.055;0.506;176;6.9;0.00200;0.510;
CITIZENSHIP STUD;1362-1025;478;0.374;;0.113;62;6.1;0.00204;;
CITY COMMUNITY;1535-6841;344;0.778;1.414;0.048;21;7.1;0.00139;0.841;
CIV SZLE;1786-3341;10;0.039;0.046;0.000;23;;0.00000;0.000;
CLIM DEV;1756-5529;109;1.143;1.205;0.094;32;2.9;0.00054;0.367;
CLIM POLICY;1469-3062;837;1.703;1.566;0.387;62;6.3;0.00244;0.643;
CLIN CHILD FAM PSYCH;1096-4037;1363;4.750;5.205;2.115;26;8.1;0.00273;1.864;
CLIN GERONTOLOGIST;0731-7115;527;0.660;0.722;0.038;26;>10.0;0.00046;0.241;
CLIN J ONCOL NURS;1092-1095;714;0.945;1.175;0.146;96;5.3;0.00182;0.304;
CLIN LINGUIST PHONET;0269-9206;802;0.780;0.841;0.108;65;7.8;0.00151;0.278;
CLIN NEUROPSYCHOL;1385-4046;2258;1.583;2.097;0.382;76;9.4;0.00333;0.555;
CLIN NURS RES;1054-7738;438;0.870;;0.148;27;9.8;0.00055;;
CLIN NURSE SPEC;0887-6274;343;0.904;1.106;0.045;44;6.4;0.00067;0.281;
CLIN PSYCHOL PSYCHOT;1063-3995;1411;2.590;2.701;0.392;51;6.6;0.00344;0.883;
CLIN PSYCHOL REV;0272-7358;8980;7.179;9.860;0.775;89;6.9;0.02248;3.433;
CLIN PSYCHOL-SCI PR;0969-5893;2364;3.245;4.395;1.294;34;>10.0;0.00328;1.588;
CLIN PSYCHOL-UK;1328-4207;101;0.429;;0.059;17;7.0;0.00021;;
CLIN SOC WORK J;0091-1674;220;0.488;0.500;0.079;38;6.3;0.00052;0.163;
CLIOMETRICA;1863-2505;71;1.036;0.750;0.071;14;;0.00089;0.838;
CLOTH TEXT RES J;0887-302X;264;0.476;0.515;0.100;20;>10.0;0.00026;0.150;

