Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AUSTRALAS J EDUC TEC;1449-3098;553;1.363;1.540;0.306;85;3.7;0.00142;0.309;
AUSTRALAS J ENV MAN;1448-6563;135;0.600;;0.000;15;6.1;0.00033;;
AUSTRALAS PSYCHIATRY;1039-8562;578;0.595;0.760;0.200;85;5.2;0.00156;0.207;
AUSTRIAN HIST YEARB;0067-2378;26;0.059;;0.000;9;;0.00007;;
AUTISM;1362-3613;1545;1.961;3.166;0.435;46;7.0;0.00295;0.932;
AUTISM RES;1939-3792;700;3.988;4.776;0.447;38;3.1;0.00428;1.713;
B ASOC GEOGR ESP;0212-9426;87;0.179;0.197;0.000;36;;0.00033;0.069;
B ATOM SCI;0096-3402;276;0.667;0.612;0.815;54;4.3;0.00110;0.335;
B ECON RES;0307-3378;201;0.289;;0.039;51;>10.0;0.00044;;
B HIST MED;0007-5140;432;0.594;0.670;0.000;18;>10.0;0.00074;0.435;
B INDONES ECON STUD;0007-4918;180;1.333;1.053;0.400;15;6.5;0.00066;0.504;
B LAT AM RES;0261-3050;166;0.273;;0.281;32;8.5;0.00057;;
B MENNINGER CLIN;0025-9284;357;0.324;0.663;0.188;16;>10.0;0.00033;0.234;
BALT J ECON;1406-099X;7;0.143;0.077;0.091;11;;0.00001;0.014;
BALT J MANAG;1746-5265;58;0.359;;0.043;23;;0.00013;;
BARIAT NURS SURG PAT;1557-1459;32;0.226;0.228;0.038;26;;0.00007;0.034;
BASIC APPL SOC PSYCH;0197-3533;1099;0.729;1.091;0.056;54;>10.0;0.00159;0.516;
BE J ECON ANAL POLI;1935-1682;370;0.551;0.760;0.060;67;4.0;0.00552;0.768;
BE J MACROECON;1935-1690;129;0.244;0.503;0.000;54;5.0;0.00162;0.490;
BE J THEOR ECON;1935-1704;101;0.419;0.442;0.071;28;4.1;0.00216;0.626;
BEHAV ANALYST;0738-6729;240;0.474;0.536;1.000;11;>10.0;0.00033;0.228;
BEHAV BRAIN SCI;0140-525X;6402;18.571;23.173;2.286;14;>10.0;0.00996;10.969;
BEHAV CHANGE;0813-4839;305;0.714;0.926;0.000;17;9.2;0.00045;0.273;
BEHAV COGN PSYCHOTH;1352-4658;1050;1.452;1.525;0.277;47;7.5;0.00253;0.559;
BEHAV DISORDERS;0198-7429;357;0.947;0.819;1.000;18;8.4;0.00044;0.269;
BEHAV GENET;0001-8244;3356;2.606;2.985;0.627;75;9.4;0.00683;1.207;
BEHAV INFORM TECHNOL;0144-929X;802;0.856;1.000;0.188;80;8.3;0.00110;0.261;
BEHAV INTERVENT;1072-0847;306;0.478;1.118;0.111;18;7.2;0.00109;0.570;
BEHAV MED;0896-4289;503;1.027;1.247;0.062;16;>10.0;0.00059;0.415;
BEHAV MODIF;0145-4455;1377;1.732;2.603;0.478;46;8.1;0.00303;0.872;
BEHAV PROCESS;0376-6357;2669;1.507;1.626;0.242;149;7.2;0.00625;0.532;
BEHAV PSYCHOL;1132-9483;211;0.800;0.671;0.622;37;4.8;0.00019;0.073;
BEHAV RES METHODS;1554-351X;6194;1.907;4.839;0.406;96;6.5;0.02292;2.173;
BEHAV RES THER;0005-7967;11908;3.471;4.158;0.462;106;9.8;0.02071;1.430;
BEHAV SCI LAW;0735-3936;1299;1.337;1.713;0.132;53;8.3;0.00273;0.607;
BEHAV THER;0005-7894;3148;2.911;3.747;1.190;79;9.7;0.00533;1.380;
BER WISSGESCH;0170-6233;39;0.229;0.180;0.647;17;;0.00017;0.110;
BERL J SOZIOL;0863-1808;69;0.283;0.246;0.059;17;;0.00028;0.129;
BETRIEB FORSCH PRAX;0340-5370;97;0.143;0.179;0.029;35;;0.00019;0.063;
BIJDR TAAL-LAND-V;0006-2294;122;0.270;0.300;0.062;16;>10.0;0.00022;0.139;
BILIG;1301-0549;40;0.072;;0.020;51;;0.00002;;
BILING-LANG COGN;1366-7289;919;2.229;2.514;0.267;60;7.1;0.00224;0.889;
BIODEMOGR SOC BIOL;1948-5565;59;1.368;;0.182;11;;0.00050;;
BIOETHICS;0269-9702;801;1.333;1.384;0.333;60;6.2;0.00205;0.438;
BIOL PHILOS;0169-3867;633;1.101;1.235;0.149;47;7.2;0.00171;0.488;
BIOL PSYCHOL;0301-0511;5593;3.399;4.343;0.594;155;6.1;0.01577;1.466;
BIOSECUR BIOTERROR;1538-7135;313;1.682;1.615;0.438;32;4.2;0.00103;0.503;
BIOSEMIOTICS-NETH;1875-1342;37;0.364;0.353;0.043;23;;0.00005;0.027;
BIOSOCIETIES;1745-8552;248;1.405;;0.211;19;4.8;0.00151;;
BIRTH-ISS PERINAT C;0730-7659;1706;2.926;3.161;0.146;48;8.1;0.00285;0.877;
BLACK SCHOLAR;0006-4246;34;0.051;0.041;;;;0.00005;0.031;
BMC GERIATR;1471-2318;1012;1.967;;0.132;76;4.0;0.00454;;
BMC INT HEALTH HUM R;1472-698X;265;1.000;;0.079;38;3.5;0.00133;;
BMC MED EDUC;1472-6920;919;1.409;;0.090;122;4.5;0.00337;;
BMC MED ETHICS;1472-6939;237;1.705;;0.091;33;4.1;0.00117;;
BMC WOMENS HEALTH;1472-6874;466;1.505;;0.047;43;4.0;0.00198;;
BMGN;0165-0505;62;0.222;;0.120;25;;0.00033;;
BMJ QUAL SAF;2044-5415;500;2.394;2.394;0.715;130;1.4;0.00228;0.791;
BODY IMAGE;1740-1445;1143;1.740;2.470;0.383;81;5.3;0.00308;0.669;
BODY SOC;1357-034X;492;1.651;1.342;0.056;18;8.5;0.00144;0.725;
BOSTON U LAW REV;0006-8047;820;1.014;1.206;0.500;54;7.5;0.00205;0.457;
BOUNDARY TWO;0190-3659;153;0.149;0.234;0.083;24;>10.0;0.00044;0.198;
BRAIN COGNITION;0278-2626;5371;2.823;3.257;0.427;96;8.1;0.01246;1.138;
BRAIN INJURY;0269-9052;3726;1.513;2.062;0.378;127;7.5;0.00632;0.551;
BRAIN LANG;0093-934X;5351;3.386;3.841;0.619;118;9.8;0.00899;1.434;
BRIT EDUC RES J;0141-1926;1094;1.660;1.680;0.180;50;7.8;0.00312;0.784;
BRIT J CLIN PSYCHOL;0144-6657;2686;2.333;2.846;0.345;29;>10.0;0.00324;1.060;
BRIT J CRIMINOL;0007-0955;1455;1.556;1.851;0.482;56;8.9;0.00408;0.969;
BRIT J DEV DISABIL;0969-7950;69;0.192;0.283;;0;;0.00005;0.052;
BRIT J DEV PSYCHOL;0261-510X;1564;1.330;1.671;0.735;34;>10.0;0.00314;0.740;
BRIT J EDUC PSYCHOL;0007-0998;1997;2.093;2.648;0.342;38;9.7;0.00373;1.073;
BRIT J EDUC STUD;0007-1005;372;0.578;0.963;0.045;22;9.0;0.00110;0.582;
BRIT J EDUC TECHNOL;0007-1013;1363;1.313;1.888;0.162;105;5.1;0.00399;0.524;
BRIT J GUID COUNS;0306-9885;381;0.526;0.669;0.059;34;8.5;0.00046;0.180;
BRIT J HEALTH PSYCH;1359-107X;1547;1.991;2.781;0.473;55;6.3;0.00403;0.920;
BRIT J HIST SCI;0007-0874;335;0.537;0.556;0.154;26;>10.0;0.00127;0.736;
BRIT J IND RELAT;0007-1080;767;0.987;1.441;0.212;33;8.5;0.00242;0.814;
BRIT J LEARN DISABIL;1354-4187;306;0.291;;0.000;40;7.5;0.00056;;
BRIT J MANAGE;1045-3172;1589;2.044;2.391;0.196;46;7.5;0.00341;0.832;
BRIT J MATH STAT PSY;0007-1102;945;1.258;1.497;0.333;27;>10.0;0.00282;1.113;
BRIT J MIDDLE E STUD;1353-0194;63;0.289;;0.118;17;;0.00032;;
BRIT J MUSIC EDUC;0265-0517;262;0.944;;0.036;28;7.9;0.00036;;
BRIT J OCCUP THER;0308-0226;791;1.096;;0.739;69;7.2;0.00074;;
BRIT J PHILOS SCI;0007-0882;738;0.919;1.064;0.241;29;>10.0;0.00104;0.379;
BRIT J POLIT INT REL;1369-1481;373;0.725;;0.128;39;6.6;0.00169;;
BRIT J POLIT SCI;0007-1234;1787;1.477;2.284;0.525;40;>10.0;0.00705;2.049;
BRIT J PSYCHIAT;0007-1250;21472;6.606;7.112;1.872;117;>10.0;0.03229;2.416;
BRIT J PSYCHOL;0007-1269;2951;2.103;2.861;1.000;35;>10.0;0.00426;1.214;
BRIT J RELIG EDUC;0141-6200;104;0.512;;0.211;19;5.4;0.00026;;
BRIT J SOC PSYCHOL;0144-6665;2279;1.816;2.671;0.481;54;>10.0;0.00482;1.296;
BRIT J SOC WORK;0045-3102;1277;0.995;1.285;0.173;81;6.3;0.00328;0.411;
BRIT J SOCIOL;0007-1315;1574;1.684;2.194;0.526;38;>10.0;0.00349;1.249;
BRIT J SOCIOL EDUC;0142-5692;808;0.976;1.039;0.068;44;8.9;0.00204;0.502;
BRIT POLIT;1746-918X;112;0.689;;0.286;21;4.3;0.00087;;
BRIT WORLD;2043-8567;6;0.231;0.140;0.000;13;;0.00003;0.035;
BROOKINGS PAP ECO AC;0007-2303;1776;3.680;5.556;;;>10.0;0.00790;7.181;
BUFFALO LAW REV;0023-9356;230;0.690;0.541;0.905;21;8.4;0.00042;0.180;
BUS ETHICS;0962-8770;358;0.544;;0.000;31;6.9;0.00064;;
BUS ETHICS Q;1052-150X;958;2.196;2.555;1.083;24;9.1;0.00189;0.909;
BUS HIST;0007-6791;341;0.474;0.638;0.077;52;8.9;0.00108;0.293;
BUS HIST REV;0007-6805;341;0.548;0.657;0.067;15;>10.0;0.00088;0.511;
BUS HORIZONS;0007-6813;1019;1.416;;0.127;55;>10.0;0.00180;;
BUS LAWYER;0007-6899;431;0.935;0.646;0.867;45;8.4;0.00027;0.079;
BUS SOC;0007-6503;763;1.936;;0.455;22;>10.0;0.00127;;
BUS STRATEG ENVIRON;0964-4733;1436;3.236;;0.263;38;7.2;0.00219;;
CAD SAUDE PUBLICA;0102-311X;3930;0.826;1.294;0.173;220;6.2;0.00788;0.317;
CADMO;1122-5165;5;0.043;0.066;0.000;5;;0.00002;0.022;
CALIDOSCOPIO;1679-8740;7;0.043;0.028;0.000;27;;0.00000;0.000;
CALIF LAW REV;0008-1221;1994;2.365;2.192;0.775;40;>10.0;0.00342;0.894;
CALIF MANAGE REV;0008-1256;2716;1.667;2.554;0.143;14;>10.0;0.00277;1.139;
CAMB J ECON;0309-166X;1315;0.951;1.477;1.125;72;8.7;0.00395;0.817;
CAMB J EDUC;0305-764X;369;0.306;;0.161;31;8.3;0.00088;;
CAMB J REG ECON SOC;1752-1378;218;1.764;1.941;0.741;27;2.9;0.00152;0.855;
CAMB Q HEALTHC ETHIC;0963-1801;325;0.846;0.796;0.312;48;6.2;0.00064;0.201;
CAMB REV INT AFF;0955-7571;79;0.288;;0.000;31;;0.00065;;
CAN GEOGR-GEOGR CAN;0008-3658;557;1.263;0.978;0.862;29;>10.0;0.00066;0.276;
CAN J ADM SCI;0825-0383;291;0.557;0.726;0.133;30;9.6;0.00054;0.248;
CAN J AGING;0714-9808;458;0.674;0.891;0.000;38;7.7;0.00097;0.289;
CAN J AGR ECON;0008-3976;378;0.724;0.808;0.107;28;7.2;0.00090;0.331;
CAN J BEHAV SCI;0008-400X;695;0.662;0.875;0.147;34;>10.0;0.00093;0.369;
CAN J CRIMINOL CRIM;1707-7753;272;0.400;0.527;0.050;20;>10.0;0.00039;0.197;
CAN J DEV STUD;0225-5189;63;0.138;0.133;0.300;30;;0.00012;0.051;
CAN J ECON;0008-4085;1338;0.642;0.878;0.075;67;>10.0;0.00335;0.653;
CAN J EXP PSYCHOL;1196-1961;854;0.875;1.465;0.214;28;9.6;0.00179;0.660;
CAN J INFORM LIB SCI;1195-096X;41;0.171;0.200;0.000;8;;0.00009;0.075;
CAN J OCCUP THER;0008-4174;604;0.688;;0.240;25;8.5;0.00070;;
CAN J POLIT SCI;0008-4239;311;0.405;0.347;0.038;26;>10.0;0.00082;0.241;
CAN J PSYCHIAT;0706-7437;4010;2.483;2.987;0.635;96;7.8;0.00746;0.938;
CAN J PUBLIC HEALTH;0008-4263;2091;1.399;1.560;0.316;38;7.9;0.00410;0.524;
CAN J SOCIOL;0318-6431;228;0.448;0.402;0.000;10;>10.0;0.00033;0.197;
CAN MOD LANG REV;0008-4506;349;0.200;0.569;0.062;16;>10.0;0.00055;0.273;
CAN PSYCHOL;0708-5591;706;0.895;2.168;0.400;30;9.4;0.00180;0.751;
CAN PUBLIC ADMIN;0008-4840;148;0.283;0.389;0.074;27;9.7;0.00038;0.167;
CAN PUBLIC POL;0317-0861;262;0.577;0.705;0.105;19;8.2;0.00082;0.322;
CAN REV SOCIOL;1755-6171;260;0.444;0.841;0.100;20;>10.0;0.00060;0.420;
CAN STUD POPUL;0380-1489;44;0.135;;0.000;8;;0.00016;;
CANCER NURS;0162-220X;2133;1.824;2.371;0.306;85;7.9;0.00380;0.691;
CARBON MANAG;1758-3004;141;2.068;2.085;0.895;19;1.7;0.00089;0.862;
CAREER DEV INT;1362-0436;505;1.043;;0.086;35;5.5;0.00131;;
CAREER DEV Q;0889-4019;607;1.260;1.299;0.036;28;9.6;0.00093;0.398;
CARTOGR GEOGR INF SC;1523-0406;385;0.611;;0.000;17;9.9;0.00038;;
CARTOGR J;0008-7041;259;0.424;0.619;0.156;32;9.4;0.00040;0.172;
CATHOL U LAW REV;0008-8390;139;0.375;0.331;;;9.2;0.00039;0.138;
CENT EUR HIST;0008-9389;119;0.405;0.371;0.048;21;>10.0;0.00091;0.537;
CENTAURUS;0008-8994;84;0.500;;0.000;21;;0.00024;;
CENTRO J;1538-6279;7;0.000;0.010;;;;0.00002;0.013;
CEPAL REV;0251-2920;116;0.259;0.250;0.050;20;8.7;0.00039;0.155;
CES LID-ETHNOL CAS;0009-0794;46;0.094;;0.000;21;;0.00000;;
CESIFO ECON STUD;1610-241X;174;0.561;0.750;0.172;29;5.4;0.00133;0.594;
CESK PSYCHOL;0009-062X;145;0.244;0.237;0.085;47;6.9;0.00009;0.021;
CHEM EDUC RES PRACT;1109-4028;372;1.075;1.200;0.480;50;4.8;0.00087;0.284;
CHILD ABUSE NEGLECT;0145-2134;5012;1.610;2.909;0.451;82;9.5;0.00796;0.982;
CHILD ABUSE REV;0952-9136;406;0.698;;1.429;35;6.7;0.00072;;
CHILD ADOL MENT H-UK;1475-357X;312;0.635;;0.176;34;5.7;0.00095;;
CHILD ADOL PSYCH CL;1056-4993;1493;2.154;3.188;0.173;52;4.9;0.00505;1.087;
CHILD CARE HLTH DEV;0305-1862;2002;1.700;1.915;0.284;102;6.1;0.00518;0.598;
CHILD DEV;0009-3920;20602;4.915;5.694;0.727;150;>10.0;0.02674;2.466;
CHILD DEV PERSPECT;1750-8592;469;2.120;2.322;0.846;65;3.0;0.00322;1.043;
CHILD FAM BEHAV THER;0731-7107;292;0.688;1.024;0.111;18;>10.0;0.00058;0.407;
CHILD FAM SOC WORK;1356-7500;586;0.831;1.132;0.065;46;6.6;0.00120;0.313;
CHILD GEOGR;1473-3285;464;0.860;;1.172;29;5.0;0.00155;;
CHILD HEALTH CARE;0273-9615;375;0.550;0.837;0.045;22;9.3;0.00053;0.292;
CHILD INDIC RES;1874-897X;157;0.864;1.406;0.175;40;3.3;0.00051;0.277;
CHILD LANG TEACH THE;0265-6590;206;0.682;;0.105;19;8.0;0.00037;;
CHILD MALTREATMENT;1077-5595;1197;2.589;3.135;0.846;26;7.1;0.00277;1.072;
CHILD PSYCHIAT HUM D;0009-398X;874;1.854;2.051;0.246;61;5.8;0.00256;0.684;
CHILD SOC;0951-0605;556;0.886;;0.359;39;7.7;0.00154;;
CHILD YOUTH CARE FOR;1053-1890;288;1.115;;0.333;36;5.5;0.00055;;
CHILD YOUTH SERV REV;0190-7409;2164;1.006;1.337;0.221;299;4.9;0.00511;0.326;
CHILDHOOD;0907-5682;622;1.046;1.415;0.086;35;8.3;0.00130;0.506;
CHIN J COMMUN;1754-4750;34;0.354;0.353;0.129;31;;0.00024;0.159;
CHIN J INT LAW;1540-1650;111;0.672;;0.400;15;3.9;0.00053;;
CHIN J INT POLIT;1750-8916;56;0.871;0.733;0.188;16;;0.00033;0.315;
CHIN MANAG STUD;1750-614X;56;0.327;0.481;0.083;36;;0.00017;0.089;
CHINA AGR ECON REV;1756-137X;43;0.476;0.462;0.000;30;;0.00018;0.110;
CHINA ECON REV;1043-951X;893;1.390;1.727;0.083;84;6.3;0.00306;0.714;
CHINA INT J;0219-7472;67;0.394;;0.000;17;;0.00030;;
CHINA J;1324-9347;226;1.029;1.273;0.125;16;8.6;0.00081;0.706;
CHINA QUART;0305-7410;1061;0.842;1.511;0.026;39;9.9;0.00268;0.825;
CHINA REV;1680-2012;89;0.500;0.447;0.000;5;;0.00031;0.236;
CHINA WORLD ECON;1671-2234;180;0.476;0.591;0.081;37;4.5;0.00094;0.250;
CHINESE SOC ANTHROP;0009-4625;24;0.033;0.165;;0;;0.00019;0.131;
CHINESE SOCIOL REV;2162-0555;11;1.222;1.222;0.000;7;;0.00004;0.253;
CHUNGARA;0717-7356;146;0.286;0.415;0.029;35;8.8;0.00026;0.142;
CIENC SAUDE COLETIVA;1413-8123;1566;0.425;;0.119;302;5.4;0.00299;;
CIN-COMPUT INFORM NU;1538-2931;388;0.816;0.945;0.057;70;5.0;0.00098;0.239;
CIRC LINGUIST APL CO;1576-4737;8;0.130;;0.000;14;;0.00004;;
CITIES;0264-2751;884;1.127;1.545;0.508;59;7.4;0.00195;0.535;
CITIZENSHIP STUD;1362-1025;463;0.738;;0.234;64;5.3;0.00232;;
CITY COMMUNITY;1535-6841;273;0.850;1.141;0.000;17;6.8;0.00098;0.568;
CIV SZLE;1786-3341;17;0.149;0.102;0.000;30;;0.00000;0.000;
CLIM DEV;1756-5529;97;1.000;1.226;0.808;26;;0.00036;0.335;
CLIM POLICY;1469-3062;776;1.536;1.679;1.038;52;5.7;0.00231;0.616;
CLIN CHILD FAM PSYCH;1096-4037;1184;4.216;4.852;0.364;22;8.7;0.00261;1.846;
CLIN GERONTOLOGIST;0731-7115;445;0.464;0.679;0.083;24;>10.0;0.00048;0.250;
CLIN J ONCOL NURS;1092-1095;631;0.910;;0.296;71;4.7;0.00212;;
CLIN LINGUIST PHONET;0269-9206;798;0.783;0.905;0.091;55;7.2;0.00173;0.294;
CLIN NEUROPSYCHOL;1385-4046;2024;1.678;2.261;0.325;77;8.9;0.00389;0.669;
CLIN NURS RES;1054-7738;390;0.857;;0.185;27;9.6;0.00055;;
CLIN NURSE SPEC;0887-6274;338;1.158;1.104;0.357;28;6.0;0.00068;0.269;
CLIN PSYCHOL PSYCHOT;1063-3995;1096;2.000;2.271;0.236;55;6.3;0.00300;0.764;
CLIN PSYCHOL REV;0272-7358;7750;6.696;8.395;0.534;58;6.9;0.02134;3.116;
CLIN PSYCHOL-SCI PR;0969-5893;1957;4.400;4.220;0.419;31;9.5;0.00332;1.745;
CLIN PSYCHOL-UK;1328-4207;97;0.536;;0.077;13;;0.00023;;
CLIN SOC WORK J;0091-1674;277;0.494;0.734;0.114;44;6.2;0.00068;0.221;
CLIOMETRICA;1863-2505;81;1.615;1.153;0.867;15;;0.00082;0.794;
CLOTH TEXT RES J;0887-302X;236;0.366;;0.000;20;>10.0;0.00013;;
COAST MANAGE;0892-0753;551;0.814;1.287;0.048;42;7.4;0.00093;0.325;
COGN BEHAV PRACT;1077-7229;775;1.144;1.422;1.511;47;6.4;0.00161;0.446;

