Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
BEHAV RES METHODS;1554-351X;4163;2.403;3.246;0.279;111;6.5;0.01411;1.317;
BEHAV RES THER;0005-7967;10132;2.957;4.045;0.369;160;9.6;0.01934;1.248;
BEHAV SCI LAW;0735-3936;1165;1.505;1.739;0.075;53;7.3;0.00285;0.600;
BEHAV THER;0005-7894;2525;2.408;3.389;0.420;50;>10.0;0.00425;1.183;
BER WISSGESCH;0170-6233;33;0.075;;0.105;19;;0.00007;;
BERL J SOZIOL;0863-1808;76;0.300;0.265;0.000;23;;0.00020;0.079;
BETRIEB FORSCH PRAX;0340-5370;103;0.174;0.187;0.029;35;9.7;0.00013;0.040;
BIJDR TAAL-LAND-V;0006-2294;123;0.171;0.259;;;>10.0;0.00007;0.045;
BILIG;1301-0549;33;0.174;;0.042;48;;0.00001;;
BILING-LANG COGN;1366-7289;729;1.691;1.948;0.545;33;8.4;0.00183;0.819;
BIOETHICS;0269-9702;697;1.642;1.459;0.429;56;6.1;0.00196;0.459;
BIOL PHILOS;0169-3867;548;0.829;1.299;0.564;39;6.5;0.00151;0.439;
BIOL PSYCHOL;0301-0511;4201;3.348;4.120;0.673;159;5.8;0.01354;1.399;
BIOSECUR BIOTERROR;1538-7135;238;1.260;1.265;0.238;21;4.5;0.00134;0.524;
BIOSOCIETIES;1745-8552;245;1.907;;2.143;21;2.9;0.00131;;
BIRTH-ISS PERINAT C;0730-7659;1401;1.821;2.604;0.242;33;7.7;0.00245;0.676;
BLACK SCHOLAR;0006-4246;45;0.231;0.163;0.048;21;;0.00005;0.030;
BMC MED EDUC;1472-6920;667;1.201;;0.140;93;4.1;0.00330;;
BODY IMAGE;1740-1445;841;2.109;;0.298;57;4.5;0.00324;;
BODY SOC;1357-034X;469;1.082;;0.360;25;7.1;0.00130;;
BOLEMA-MATH EDUC BUL;0103-636X;1;0.000;;0.000;34;;0.00000;;
BOSTON U LAW REV;0006-8047;879;2.091;1.676;1.061;82;6.7;0.00265;0.738;
BRAIN COGNITION;0278-2626;4609;2.838;3.047;0.731;130;7.0;0.01056;1.023;
BRAIN INJURY;0269-9052;3553;1.750;2.146;0.132;136;7.5;0.00726;0.562;
BRAIN LANG;0093-934X;5070;3.162;3.407;0.693;75;9.4;0.00950;1.230;
BRIT EDUC RES J;0141-1926;902;1.140;1.522;0.312;48;7.3;0.00229;0.565;
BRIT J CLIN PSYCHOL;0144-6657;2228;1.697;2.721;0.243;37;>10.0;0.00360;0.942;
BRIT J CRIMINOL;0007-0955;1196;1.612;1.740;0.145;55;8.9;0.00287;0.640;
BRIT J DEV DISABIL;0969-7950;58;0.174;0.192;0.077;13;;0.00009;0.090;
BRIT J DEV PSYCHOL;0261-510X;1384;1.394;1.747;0.280;50;>10.0;0.00289;0.687;
BRIT J EDUC PSYCHOL;0007-0998;1713;1.013;2.321;0.054;37;9.7;0.00330;0.814;
BRIT J EDUC STUD;0007-1005;294;0.780;1.231;0.087;23;6.7;0.00109;0.519;
BRIT J EDUC TECHNOL;0007-1013;1029;2.139;1.697;0.122;115;4.9;0.00274;0.382;
BRIT J GUID COUNS;0306-9885;289;0.403;0.646;0.034;29;6.7;0.00048;0.168;
BRIT J HEALTH PSYCH;1359-107X;1250;2.336;2.772;0.333;54;5.8;0.00387;0.876;
BRIT J HIST SCI;0007-0874;260;0.500;0.713;0.000;23;>10.0;0.00098;0.537;
BRIT J IND RELAT;0007-1080;726;1.033;1.529;0.167;30;7.7;0.00232;0.781;
BRIT J MANAGE;1045-3172;1263;1.385;2.631;0.417;72;7.6;0.00272;0.783;
BRIT J MATH STAT PSY;0007-1102;838;1.419;1.413;0.412;34;>10.0;0.00225;0.920;
BRIT J MIDDLE E STUD;1353-0194;46;0.170;;0.000;18;;0.00024;;
BRIT J PHILOS SCI;0007-0882;767;1.048;1.146;0.161;31;>10.0;0.00138;0.433;
BRIT J POLIT INT REL;1369-1481;340;1.025;;0.118;34;5.4;0.00190;;
BRIT J POLIT SCI;0007-1234;1544;1.822;2.243;0.556;45;>10.0;0.00690;1.923;
BRIT J PSYCHIAT;0007-1250;20136;5.947;6.529;1.625;136;>10.0;0.03567;2.184;
BRIT J PSYCHOL;0007-1269;2560;2.172;2.385;0.810;42;>10.0;0.00295;0.899;
BRIT J RELIG EDUC;0141-6200;136;0.564;;0.000;21;8.8;0.00012;;
BRIT J SOC PSYCHOL;0144-6665;1928;2.056;2.516;0.306;49;9.5;0.00417;1.121;
BRIT J SOC WORK;0045-3102;1260;1.524;1.715;0.119;143;5.6;0.00227;0.311;
BRIT J SOCIOL;0007-1315;1436;1.860;2.820;1.897;39;>10.0;0.00352;1.365;
BRIT J SOCIOL EDUC;0142-5692;717;0.775;0.992;0.051;39;7.9;0.00210;0.459;
BRIT POLIT;1746-918X;69;0.652;;0.174;23;;0.00061;;
BROOKINGS PAP ECO AC;0007-2303;1742;3.783;3.364;0.500;6;>10.0;0.00412;3.858;
BUFFALO LAW REV;0023-9356;245;0.786;0.541;0.409;22;>10.0;0.00071;0.248;
BUS ETHICS;0962-8770;425;1.060;;0.357;28;6.4;0.00054;;
BUS ETHICS Q;1052-150X;901;3.256;2.085;0.826;23;8.2;0.00108;0.394;
BUS HIST;0007-6791;293;0.427;0.601;0.042;48;8.4;0.00056;0.177;
BUS HIST REV;0007-6805;355;0.684;0.718;0.000;22;>10.0;0.00067;0.409;
BUS HORIZONS;0007-6813;928;0.809;;0.167;54;>10.0;0.00133;;
BUS LAWYER;0007-6899;463;1.000;0.606;1.311;45;7.8;0.00058;0.136;
BUS SOC;0007-6503;794;1.220;;0.348;23;9.5;0.00101;;
CAD SAUDE PUBLICA;0102-311X;3516;0.987;;0.108;212;6.0;0.00710;;
CADMO;1122-5165;4;0.160;;0.000;10;;0.00003;;
CALIDOSCOPIO;1679-8740;14;0.114;;0.000;23;;0.00001;;
CALIF LAW REV;0008-1221;1756;2.333;2.418;1.175;40;>10.0;0.00454;1.126;
CALIF MANAGE REV;0008-1256;3019;1.706;2.524;0.207;29;>10.0;0.00233;0.841;
CAMB J ECON;0309-166X;1205;1.457;1.358;0.727;66;9.2;0.00295;0.573;
CAMB Q HEALTHC ETHIC;0963-1801;289;0.712;0.780;0.204;49;6.2;0.00085;0.262;
CAMB REV INT AFF;0955-7571;11;0.180;;0.000;27;;0.00011;;
CAN GEOGR-GEOGR CAN;0008-3658;441;0.426;0.679;0.107;28;>10.0;0.00054;0.214;
CAN J ADM SCI;0825-0383;267;0.714;0.695;0.037;27;9.4;0.00034;0.166;
CAN J AGING;0714-9808;401;0.557;0.841;0.116;43;6.8;0.00075;0.220;
CAN J AGR ECON;0008-3976;322;0.477;0.950;0.357;28;6.0;0.00109;0.353;
CAN J BEHAV SCI;0008-400X;645;0.736;0.939;0.031;32;>10.0;0.00084;0.328;
CAN J CRIMINOL CRIM;1707-7753;272;0.349;0.540;0.080;25;9.8;0.00046;0.188;
CAN J DEV STUD;0225-5189;65;0.000;0.148;0.055;55;;0.00009;0.042;
CAN J ECON;0008-4085;1330;0.844;1.097;0.119;59;>10.0;0.00589;1.012;
CAN J EXP PSYCHOL;1196-1961;723;1.177;1.514;0.065;31;8.4;0.00176;0.621;
CAN J INFORM LIB SCI;1195-096X;37;0.000;0.119;0.000;16;;0.00006;0.050;
CAN J POLIT SCI;0008-4239;355;0.268;0.461;0.474;38;>10.0;0.00080;0.214;
CAN J PSYCHIAT;0706-7437;3824;2.497;3.167;0.478;90;7.2;0.00858;0.937;
CAN J PUBLIC HEALTH;0008-4263;2039;1.385;1.829;0.170;106;6.9;0.00522;0.581;
CAN J SOCIOL;0318-6431;178;0.192;0.412;;;9.0;0.00057;0.289;
CAN MOD LANG REV;0008-4506;328;0.417;0.645;0.000;20;9.9;0.00069;0.292;
CAN PSYCHOL;0708-5591;607;1.952;1.443;0.440;25;>10.0;0.00127;0.569;
CAN PUBLIC ADMIN;0008-4840;136;0.434;0.407;0.038;26;8.8;0.00038;0.158;
CAN PUBLIC POL;0317-0861;293;0.215;0.431;0.179;28;9.7;0.00047;0.175;
CAN REV SOCIOL;1755-6171;245;0.483;0.770;0.000;19;9.3;0.00047;0.276;
CANCER NURS;0162-220X;2026;2.065;2.526;0.260;73;7.9;0.00360;0.634;
CAREER DEV Q;0889-4019;568;1.345;1.406;0.077;26;8.7;0.00103;0.384;
CARTOGR J;0008-7041;210;0.607;0.644;0.167;30;7.7;0.00031;0.136;
CATHOL U LAW REV;0008-8390;116;0.347;0.284;0.000;33;9.2;0.00044;0.138;
CENTRO J;1538-6279;6;0.000;0.009;0.000;20;;0.00001;0.007;
CEPAL REV;0251-2920;110;0.254;;0.036;28;8.0;0.00029;;
CES LID-ETHNOL CAS;0009-0794;49;0.343;;0.067;15;;0.00006;;
CESIFO ECON STUD;1610-241X;114;0.471;0.561;0.000;25;5.1;0.00097;0.408;
CESK PSYCHOL;0009-062X;137;0.230;0.209;0.000;44;8.5;0.00011;0.022;
CHEM EDUC RES PRACT;1109-4028;214;0.662;;0.242;33;4.8;0.00074;;
CHILD ABUSE NEGLECT;0145-2134;4805;1.945;3.248;0.160;100;9.6;0.00869;1.087;
CHILD ABUSE REV;0952-9136;433;1.463;2.926;1.259;27;6.5;0.00049;0.468;
CHILD ADOL MENT H-UK;1475-357X;243;1.143;;0.156;32;4.9;0.00096;;
CHILD ADOL PSYCH CL;1056-4993;1340;4.091;2.942;0.154;52;5.2;0.00491;0.976;
CHILD CARE HLTH DEV;0305-1862;1502;1.308;1.732;0.300;100;5.6;0.00434;0.509;
CHILD DEV;0009-3920;19231;3.770;5.441;1.118;119;>10.0;0.02471;2.267;
CHILD DEV PERSPECT;1750-8592;190;1.676;1.723;0.933;30;2.2;0.00142;0.779;
CHILD FAM BEHAV THER;0731-7107;185;0.382;0.494;0.059;17;>10.0;0.00029;0.181;
CHILD FAM SOC WORK;1356-7500;518;0.854;;0.114;44;5.6;0.00123;;
CHILD GEOGR;1473-3285;419;1.833;;0.138;29;4.4;0.00147;;
CHILD HEALTH CARE;0273-9615;297;0.610;1.019;0.100;20;7.4;0.00074;0.358;
CHILD INDIC RES;1874-897X;34;0.750;0.750;0.148;27;;0.00016;0.210;
CHILD LANG TEACH THE;0265-6590;194;0.533;;0.095;21;8.0;0.00028;;
CHILD MALTREATMENT;1077-5595;1006;1.984;3.212;0.226;31;6.4;0.00340;1.201;
CHILD PSYCHIAT HUM D;0009-398X;627;1.543;1.764;0.208;48;6.4;0.00178;0.555;
CHILD SOC;0951-0605;459;0.875;;0.154;39;6.8;0.00093;;
CHILD WELFARE;0009-4021;780;0.657;0.903;0.023;43;10.0;0.00102;0.232;
CHILD YOUTH CARE FOR;1053-1890;244;1.000;;0.226;31;8.5;0.00035;;
CHILD YOUTH SERV REV;0190-7409;1546;1.130;1.541;0.152;224;5.7;0.00368;0.366;
CHILDHOOD;0907-5682;609;1.061;1.504;0.094;32;7.9;0.00133;0.549;
CHIN J INT LAW;1540-1650;45;0.206;;0.030;33;;0.00032;;
CHIN MANAG STUD;1750-614X;54;0.750;0.839;0.000;16;;0.00008;0.070;
CHINA AGR ECON REV;1756-137X;5;0.167;0.167;0.000;14;;0.00002;0.027;
CHINA ECON REV;1043-951X;607;0.947;1.250;0.091;55;7.0;0.00172;0.473;
CHINA J;1324-9347;190;0.826;1.096;0.312;16;8.3;0.00054;0.535;
CHINA QUART;0305-7410;878;0.907;1.396;0.081;37;9.3;0.00252;0.714;
CHINA REV;1680-2012;65;0.125;0.391;0.059;17;;0.00025;0.187;
CHINA WORLD ECON;1671-2234;143;0.575;;0.150;40;3.7;0.00096;;
CHINESE LAW GOV;0009-4609;18;0.048;0.021;0.024;42;;0.00007;0.019;
CHINESE SOC ANTHROP;0009-4625;10;0.053;0.082;0.000;9;;0.00009;0.055;
CHUNGARA;0716-1182;198;0.306;0.600;0.208;24;9.6;0.00017;0.108;
CIENC SAUDE COLETIVA;1413-8123;1076;0.438;;0.040;348;5.4;0.00197;;
CIN-COMPUT INFORM NU;1538-2931;274;0.957;1.018;0.139;36;5.3;0.00092;0.280;
CITIES;0264-2751;689;1.090;1.452;0.226;53;7.4;0.00157;0.487;
CITY COMMUNITY;1535-6841;213;0.976;;0.095;21;5.7;0.00122;;
CIV SZLE;1786-3341;5;0.056;;0.000;18;;0.00003;;
CLIM POLICY;1469-3062;572;1.630;1.680;0.356;45;4.5;0.00323;0.740;
CLIN CHILD FAM PSYCH;1096-4037;902;2.310;4.029;0.263;19;7.8;0.00213;1.566;
CLIN GERONTOLOGIST;0731-7115;420;0.486;1.151;0.074;27;>10.0;0.00031;0.304;
CLIN J ONCOL NURS;1092-1095;551;1.208;;0.043;69;3.8;0.00167;;
CLIN LINGUIST PHONET;0269-9206;636;0.574;1.003;0.061;66;6.6;0.00188;0.327;
CLIN NEUROPSYCHOL;1385-4046;1765;2.075;2.306;0.453;75;8.5;0.00298;0.595;
CLIN NURSE SPEC;0887-6274;281;0.579;0.903;0.091;33;7.0;0.00065;0.249;
CLIN PSYCHOL PSYCHOT;1063-3995;725;1.275;1.534;0.143;49;6.7;0.00204;0.511;
CLIN PSYCHOL REV;0272-7358;5617;5.882;7.615;1.198;81;6.9;0.01588;2.693;
CLIN PSYCHOL-SCI PR;0969-5893;1721;2.771;3.312;1.000;23;7.8;0.00315;1.176;
CLIN SOC WORK J;0091-1674;172;0.292;0.404;0.024;41;9.3;0.00029;0.099;
CLIOMETRICA;1863-2505;34;0.957;0.939;0.231;13;;0.00040;0.617;
CLOTH TEXT RES J;0887-302X;206;0.190;;0.000;19;>10.0;0.00017;;
COAST MANAGE;0892-0753;487;0.887;1.287;0.056;36;7.5;0.00113;0.389;
COGN BEHAV PRACT;1077-7229;532;0.750;0.984;1.238;42;6.6;0.00107;0.292;
COGN LINGUIST;0936-5907;543;1.021;1.717;0.045;22;7.9;0.00133;0.649;
COGN NEUROPSYCHOL;0264-3294;2115;2.082;2.790;0.235;17;9.4;0.00429;0.949;
COGN PROCESS;1612-4782;278;1.030;;0.667;27;3.8;0.00121;;
COGN SYST RES;1389-0417;223;1.000;1.073;1.034;29;4.4;0.00091;0.425;
COGNITION;0010-0277;9233;3.708;4.323;0.599;157;9.7;0.02483;1.960;
COGNITION EMOTION;0269-9931;3440;2.083;2.584;0.340;100;9.4;0.00829;1.077;
COGNITION INSTRUCT;0737-0008;1106;1.885;2.877;0.385;13;>10.0;0.00182;1.443;
COGNITIVE DEV;0885-2014;1271;1.362;1.914;0.286;28;>10.0;0.00301;0.891;
COGNITIVE PSYCHOL;0010-0285;5186;3.900;5.450;0.615;26;>10.0;0.00592;2.801;
COGNITIVE SCI;0364-0213;3091;2.322;3.333;0.662;65;>10.0;0.00678;1.493;
COGNITIVE THER RES;0147-5916;2779;1.583;2.211;0.224;58;>10.0;0.00422;0.792;
COLL RES LIBR;0010-0870;491;0.683;0.902;0.152;33;9.0;0.00154;0.518;
COLLEGIAN;1322-7696;192;0.822;;0.240;25;6.0;0.00032;;
COLLEGIUM ANTROPOL;0350-6134;1127;0.491;0.632;0.175;355;4.1;0.00217;0.101;
COLUMBIA J LAW SOC P;0010-1923;58;0.233;0.355;0.000;15;;0.00023;0.153;
COLUMBIA J TRANS LAW;0010-1931;167;0.741;0.671;0.091;11;8.9;0.00056;0.338;
COLUMBIA LAW REV;0010-1958;2909;3.919;3.569;0.902;41;>10.0;0.00647;1.652;
COMMENTARY;0010-2601;145;0.059;0.069;0.021;94;>10.0;0.00011;0.019;
COMMON MKT LAW REV;0165-0750;702;2.194;2.071;0.867;30;6.0;0.00195;0.643;
COMMUN MONOGR;0363-7751;1045;2.029;2.207;0.594;32;>10.0;0.00204;0.946;
COMMUN RES;0093-6502;1709;1.819;2.374;0.167;36;>10.0;0.00308;1.024;
COMMUN THEOR;1050-3293;733;1.370;2.133;0.400;20;7.2;0.00226;1.030;
COMMUNIS POST-COMMUN;0967-067X;172;0.211;0.640;0.061;33;5.8;0.00090;0.341;
COMMUNITY MENT HLT J;0010-3853;1139;1.028;1.627;0.164;73;8.5;0.00234;0.511;
COMP EDUC;0305-0068;324;0.635;0.843;0.143;28;8.0;0.00079;0.320;
COMP EDUC REV;0010-4086;308;0.976;0.879;0.158;19;9.1;0.00072;0.348;
COMP EUR POLIT;1472-4790;150;0.886;;0.080;25;4.2;0.00117;;
COMP POLIT;0010-4159;807;0.979;1.008;0.500;24;>10.0;0.00192;0.832;
COMP POLIT STUD;0010-4140;1636;1.813;2.363;0.574;54;8.0;0.00962;1.975;
COMP STUD SOC HIST;0010-4175;718;0.638;0.585;0.323;31;>10.0;0.00183;0.576;
COMPET POLICY INT;1554-0189;29;0.323;;0.048;21;;0.00085;;
COMPR PSYCHIAT;0010-440X;3345;2.377;2.653;0.319;94;9.1;0.00622;0.795;
COMPUT ASSIST LANG L;0958-8221;240;0.900;;0.167;24;5.6;0.00050;;
COMPUT ECON;0927-7099;321;0.514;;0.179;39;7.8;0.00140;;
COMPUT EDUC;0360-1315;2824;2.617;2.868;0.469;277;3.3;0.00596;0.462;
COMPUT ENVIRON URBAN;0198-9715;367;1.183;;0.178;45;4.2;0.00141;;
COMPUT HUM BEHAV;0747-5632;2528;1.865;2.304;0.452;210;4.2;0.00687;0.549;
COMPUT LINGUIST;0891-2017;1320;2.971;3.700;0.231;26;>10.0;0.00232;1.494;
COMPUT MATH ORGAN TH;1381-298X;214;0.583;;0.000;17;6.5;0.00067;;
COMUN SOC-NAVARRA;0214-0039;28;0.152;;0.087;23;;0.00003;;
COMUNICAR;1134-3478;117;0.455;;0.025;40;4.6;0.00007;;
CONFIGURATIONS;1063-1801;99;0.034;0.211;;0;;0.00016;0.113;
CONFLICT MANAG PEACE;0738-8942;377;0.682;1.423;0.417;24;6.6;0.00278;1.377;
CONSCIOUS COGN;1053-8100;2031;2.179;2.768;0.488;123;5.2;0.00780;1.013;
CONTEMP ACCOUNT RES;0823-9150;1122;1.735;2.048;0.452;31;8.7;0.00396;1.215;
CONTEMP ECON POLICY;1074-3529;531;0.523;0.792;0.200;40;8.1;0.00155;0.353;
CONTEMP EDUC PSYCHOL;0361-476X;1510;1.928;2.435;0.160;25;>10.0;0.00255;0.953;
CONTEMP NURSE;1037-6178;437;0.442;;0.196;51;4.7;0.00104;;
CONTEMP PACIFIC;1043-898X;132;0.312;0.447;0.000;31;9.0;0.00027;0.146;
CONTEMP PSYCHOANAL;0010-7530;232;0.152;0.286;0.000;22;>10.0;0.00064;0.205;
CONTEMP SOCIOL;0094-3061;185;0.294;0.306;0.067;15;>10.0;0.00014;0.118;
CONTINUITY CHANGE;0268-4160;179;0.333;0.566;0.000;17;>10.0;0.00045;0.281;
CONTINUUM-J MEDIA CU;1030-4312;113;0.417;;0.014;70;3.4;0.00073;;
CONTRIB INDIAN SOC;0069-9667;33;0.103;0.222;0.000;13;;0.00014;0.112;

